QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,OldBadeaID,Geno,Sex_other,IDStripped,TestDate,Age_Substracted,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling,Unnamed: 28,age
,VIII,12,In House,210201-13,Control,210201_13,210201_13,APOE44,male,210201,2/1/21,10,3/17/20,27.9,5/26/17,14.3,14,1.19,FALSE,210201-13:1,N58919_m00-m48,N58920,109,27,,14.3,Control,10.66666667,,59
,VIII,13,In House,210201-14,Control,210201_14,210201_14,APOE44,male,210201,2/1/21,10,3/3/20,30.3,5/26/17,14.77,15,1.23,FALSE,210201-14:1,,,,,,14.77,Control,11.13333333,,59
,VIII,14,In House,210201-15,Control,210201_15,210201_15,APOE44,male,210201,2/1/21,10,3/3/20,31.2,5/26/17,14.77,15,1.23,FALSE,210201-15:1,N58879_m00-m48,N58880,93,25,D,14.77,Control,11.13333333,,59
,VIII,15,In House,210201-16,Control,210201_16,210201_16,APOE44,male,210201,2/1/21,10,3/3/20,34.1,5/26/17,14.77,15,1.23,FALSE,210201-16:1,N58881_m00-m48,N58882,102,25,D,14.77,Control,11.13333333,,59
,VIII,16,In House,210201-17,Control,210201_17,210201_17,APOE44,male,210201,2/1/21,12,1/7/20,32.8,6/2/17,16.83,17,1.4,TRUE,210201-17:1,N58889_m00-m48,N58890,109,27,AD,16.83,Control,13,,61
,VIII,17,In House,210201-18,Control,210201_18,210201_18,APOE44,male,210201,2/1/21,12,1/7/20,30.6,6/2/17,16.83,17,1.4,TRUE,210201-18:1,,,,,,16.83,Control,13,,61
,VIII,18,In House,210201-19,Control,210201_19,210201_19,APOE22HN,male,210201,2/1/21,10,3/14/20,27,5/24/17,14.33,14,1.19,FALSE,210201-19:1,N58877_m00-m48,N58878,106,28,D,14.33,Control,10.76666667,,59
,VIII,19,In House,210222-1,Control,210222_1,210222_1,APOE33HN,female,210222,2/22/21,11,3/9/20,29.8,5/24/17,14.5,15,1.21,FALSE,210222-1:1,,,,,,14.5,Control,11.63333333,,59
Sep2022scans,VIII,20,In House,210222-2,Control,210222_2,210222_2,APOE33HN,female,210222,2/22/21,11,3/9/20,28.9,5/24/17,14.5,15,1.21,FALSE,210222-2:1,N60129_m00-m48,N60130,94,32,,14.5,Control,11.63333333,,59
Sep2022scans,VIII,21,In House,210222-3,Control,210222_3,210222_3,APOE33HN,male,210222,2/22/21,11,3/9/20,32.3,5/24/17,14.5,15,1.21,FALSE,210222-3:1,N60131_m00-m48,N60132,93,30,,14.5,Control,11.63333333,,59
Sep2022scans,VIII,22,In House,210222-4,Control,210222_4,210222_4,APOE33HN,male,210222,2/22/21,11,3/9/20,35.9,5/24/17,14.5,15,1.21,FALSE,210222-4:1,N60127_m00-m48,N60128,94,29,,14.5,Control,11.63333333,,59
,VIII,23,In House,210222-5,Control,210222_5,210222_5,APOE33HN,male,210222,2/22/21,11,3/9/20,32.8,5/24/17,14.5,15,1.21,FALSE,210222-5:1,,,,,,14.5,Control,11.63333333,,59
Sep2022scans,VIII,24,In House,210222-6,Control,210222_6,210222_6,APOE33HN,male,210222,2/22/21,11,3/9/20,33.8,5/24/17,14.5,15,1.21,FALSE,210222-6:1,N60139_m00-m48,N60140,89,30,,14.5,Control,11.63333333,,59
,VIII,25,In House,210222-7,Control,210222_7,210222_7,APOE33,female,210222,2/22/21,12,2/22/20,40.9,6/7/17,15.5,16,1.29,FALSE,210222-7:1,N58917_m00-m48,N58918,103,29, ,15.5,Control,12.16666667,,60
,VIII,26,In House,210222-8,Control,210222_8,210222_8,APOE33,female,210222,2/22/21,12,2/22/20,29,6/7/17,15.5,16,1.29,FALSE,210222-8:1,N58995-m00-m48,N58996,103,26, ,15.5,Control,12.16666667,,60
,VIII,27,In House,210222-9,Control,210222_9,210222_9,APOE33,female,210222,2/22/21,12,2/22/20,33.2,6/7/17,15.5,16,1.29,FALSE,210222-9:1,N59005-m00-m48,N59006,103,27, ,15.5,Control,12.16666667,,60
,VIII,28,In House,210222-10,Control,210222_10,210222_10,APOE33,female,210222,2/22/21,11,3/7/20,28.9,6/7/17,15,15,1.25,FALSE,210222-10:1,N58857_m00-m48,N58858,107,25, ,15,Control,11.7,,59
,VIII,29,In House,210222-11,Control,210222_11,210222_11,APOE33,female,210222,2/22/21,11,3/7/20,28.1,6/7/17,15,15,1.25,FALSE,210222-11:1,N58859_m00-m48,N58860,99,25, ,15,Control,11.7,,59
,VIII,30,In House,210222-12,Control,210222_12,210222_12,APOE33,female,210222,2/22/21,11,3/7/20,26.8,6/8/17,15.03,15,1.25,FALSE,210222-12:1,N58861_m00-m48,N58862,108,27, ,15.03,Control,11.7,,59
,VIII,31,In House,210222-13,Control,210222_13,210222_13,APOE33,male,210222,2/22/21,11,3/7/20,33.8,6/8/17,15.03,15,1.25,FALSE,210222-13:1, , , , , ,15.03,Control,11.7,,59
,VIII,32,In House,210222-14,Control,210222_14,210222_14,APOE33,male,210222,2/22/21,11,3/7/20,34.6,6/8/17,15.03,15,1.25,FALSE,210222-14:1,N59065_m00-m48,N59064,100,26, ,15.03,Control,11.7,,59
,VIII,33,In House,210222-15,Control,210222_15,210222_15,APOE33,male,210222,2/22/21,11,3/7/20,35.7,6/8/17,15.03,15,1.25,FALSE,210222-15:1,N59066_m00-m48,N59067,107,27, ,15.03,Control,11.7,,59
,VIII,34,In House,210222-16,Control,210222_16,210222_16,APOE22,male,210222,2/22/21,12,2/17/20,/, 6/7/2021,15.03,15,1.25,,210222-16:1,N59080_m00-m48,N59081,79,20,Did not draw the blood ,15.03,Control,12.36666667,,12
,VIII,35,In House,210222-17,Control,210222_17,210222_17,APOE22,female,210222,2/22/21,12,2/16/20,28.3,6/7/17,15.7,16,1.31,FALSE,210222-17:1,,,,,,15.7,Control,12.36666667,,60
,X,1,In House,210730-4,HFD,210112_2,210112_2,APOE44HN,female,210112,1/12/21,9,4/5/20,56.2,7/30/2021                                                 Micro Ct image                                           8/17/21                                                                        ,,0,#VALUE!,,210730-4:1,,,,,,#VALUE!,HFD,12.2,,57
,X,2,In House,210817-1,HFD,210112_4,210112_4,APOE44HN,female,210112,1/12/21,9,4/5/20,52.6,8/16/17,16.37,16,1.36,TRUE,210817-1:1,N58948_m00-m48,N58949,114,27,,16.37,HFD,12.2,,57
,X,3,In House,210817-2,Control,210112_5,210112_5,APOE44HN,male,210112,1/12/21,8,4/14/20,28.4,8/16/17,16.07,16,1.34,TRUE,210817-2:1,N59072_m00-m48,N59073,109,27,,16.07,Control,11.9,,57
,X,4,In House,210817-3,Control,210112_6,210112_6,APOE44HN,male,210112,1/12/21,8,4/14/20,29.5,8/16/17,16.07,16,1.34,TRUE,210817-3:1,N58935_m00-m48,N58936,111,28,,16.07,Control,11.9,,57
,X,5,In House,210817-4,Control,210112_7,210112_7,APOE44HN,male,210112,1/12/21,8,4/14/20,33.4,8/16/17,16.07,16,1.34,TRUE,210817-4:1,N59039_m00-m48,N59040,109,28,,16.07,Control,11.9,,57
,X,6,In House,210817-5,HFD,210112_9,210112_9,APOE44HN,male,210112,1/12/21,8,4/20/20,45.3,8/16/17,15.87,16,1.32,FALSE,210817-5:1,N58946_m00-m48,N58947,117,28,,15.87,HFD,11.7,,57
,X,7,In House,210730-3,HFD,210112_11,210112_11,APOE44HN,male,210112,1/12/21,8,4/20/20,51.1,8/16/17,15.87,16,1.32,FALSE,210730-3:1,N58954_m00-m48,N58955,108,27,,15.87,HFD,11.7,,57
,X,8,In House,210817-6,Control,210112_14,210112_14,APOE44HN,female,210112,1/12/21,8,4/20/20,30.2,8/16/17,15.87,16,1.32,FALSE,210817-6:1,N59033_m00-m48,N59034,109,28,,15.87,Control,11.7,,57
,X,9,In House,210817-7,Control,210112_15,210112_15,APOE44HN,female,210112,1/12/21,8,4/20/20,26.5,8/16/17,15.87,16,1.32,FALSE,210817-7:1,N59022_m00-m48,N59023,102,28,,15.87,Control,11.7,,57
,X,10,In House,210817-8,Control,210112_16,210112_16,APOE44HN,female,210112,1/12/21,8,4/20/20,25.5,8/16/17,15.87,16,1.32,FALSE,210817-8:1,N59035_m00-m48,N59036,107,27,,15.87,Control,11.7,,57
,X,11,In House,210817-9,Control,210112_17,210112_17,APOE44HN,female,210112,1/12/21,8,4/28/20,25.5,8/16/17,15.6,16,1.3,FALSE,210817-9:1,N59026_m00-m48,N59027,103,26,,15.6,Control,11.43333333,,57
,X,12,In House,210730-5,HFD,210112_18,210112_18,APOE33HN,male,210112,1/12/21,8,4/27/20,51.8,8/17/17,15.67,16,1.31,FALSE,210730-5:1,N59109_m00-m48,N59110,107,27,,15.67,HFD,11.46666667,,57
,X,13,In House,210817-10,HFD,210112_19,210112_19,APOE33HN,male,210112,1/12/21,8,4/27/20,53.6,8/18/17,15.7,16,1.31,FALSE,210817-10:1,N59097_m00-m48,N59098,110,26,,15.7,HFD,11.46666667,,57
,X,14,In House,210817-11,HFD,210112_20,210112_20,APOE33HN,male,210112,1/12/21,8,4/27/20,66.2,8/17/17,15.67,16,1.31,FALSE,210817-11:1,N59099_m00-m48,N59100,109,26,,15.67,HFD,11.46666667,,57
,X,15,In House,210730-6,HFD,210112_21,210112_21,APOE33HN,female,210112,1/12/21,8,4/27/20,57.7,8/17/17,15.67,16,1.31,FALSE,210730-6:1,N59116_m00-m48,N59117,107,26,,15.67,HFD,11.46666667,,57
,X,16,In House,210817-12,HFD,210112_23,210112_23,APOE33HN,female,210112,1/12/21,10,3/9/20,54.3,8/17/17,17.27,17,1.44,TRUE,210817-12:1,N59118_m00-m48,N59119,108,26,,17.27,HFD,13.06666667,,58
,X,17,In House,210817-13,HFD,210112_24,210112_24,APOE33HN,female,210112,1/12/21,8,4/28/20,52.2,8/17/17,15.63,16,1.3,FALSE,210817-13:1,N59120_m00-m48,N59121,109,27,,15.63,HFD,11.46666667,,57
,X,18,In House,210817-14,HFD,210112_25,210112_25,APOE44,male,210112,1/12/21,9,4/5/20,51.2,8/17/17,16.4,16,1.37,TRUE,210817-14:1,,,,,,16.4,HFD,12.2,,57
,X,19,In House,210730-7,HFD,210112_26,210112_26,APOE44,male,210112,1/12/21,9,4/5/20,50.3,8/18/17,16.43,16,1.37,TRUE,210730-7:1,,,,,,16.43,HFD,12.2,,57
,X,20,In House,210730-8,HFD,210112_27,210112_27,APOE44,female,210112,1/12/21,9,4/5/20,50.7,8/17/17,16.4,16,1.37,TRUE,210730-8:1,,,,,,16.4,HFD,12.2,,57
,X,21,In House,210817-15,HFD,210112_28,210112_28,APOE44,female,210112,1/12/21,9,4/5/20,45.1,8/17/17,16.4,16,1.37,TRUE,210817-15:1,,,,,,16.4,HFD,12.2,,57
,X,22,In House,210817-16,HFD,210112_29,210112_29,APOE44,female,210112,1/12/21,8,4/15/20,34.6,8/17/17,16.07,16,1.34,TRUE,210817-16:1,,,,,,16.07,HFD,11.86666667,,57
,X,23,In House,210817-17,HFD,210112_1,210112_1,APOE44HN,female,210112,1/12/21,9,4/5/20,49.3,8/18/17,16.43,16,1.37,TRUE,210817-17:1,,,,,,16.43,HFD,12.2,,57
,X,24,In House,210817-18,Control,210112_8,210112_8,APOE44HN,male,210112,1/12/21,8,4/14/20,26.6,8/17/17,16.1,16,1.34,TRUE,210817-18:1,N59041_m00-m48,N59042,105,26,,16.1,Control,11.9,,57
,X,25,In House,210817-19,HFD,210112_12,210112_12,APOE44HN,male,210112,1/12/21,8,4/20/20,49.9,8/18/17,15.93,16,1.33,FALSE,210817-19:1,N58941_m00-m48,N58942,109,26,,15.93,HFD,11.7,,57
,XI,1,In House,211001-1,Control,210503_18,210503_18,APOE22,male,210503,5/3/21,11,5/11/20,38.6,9/30/17,16.63,17,1.39,TRUE,211001-1:1,,,,,,16.63,Control,11.86666667,,60
,XI,2,In House,211001-2,Control,210503_19,210503_19,APOE22,male,210503,5/3/21,11,5/11/20,33.1,9/30/17,16.63,17,1.39,TRUE,211001-2:1,,,,,,16.63,Control,11.86666667,,60
,XI,3,In House,211001-3,Control,210503_20,210503_20,APOE22,male,210503,5/3/21,11,5/11/20,36.2,9/30/17,16.63,17,1.39,TRUE,211001-3:1,,,,,,16.63,Control,11.86666667,,60
,XI,4,In House,211001-4,Control,210503_21,210503_21,APOE22,female,210503,5/3/21,11,5/11/20,28.8,9/30/17,16.63,17,1.39,TRUE,211001-4:1,,,,,,16.63,Control,11.86666667,,60
,XI,5,In House,211001-5,Control,210503_22,210503_22,APOE22,female,210503,5/3/21,11,5/11/20,25.8,9/30/17,16.63,17,1.39,TRUE,211001-5:1,,,,,,16.63,Control,11.86666667,,60
july2022scans,XI,6,In House,211001-6,HFD,210614_2,210614_2,APOE22HN,female,210614,6/14/21,11,6/28/20,40.9,9/30/17,15.07,15,1.26,FALSE,211001-6:1,N60056_m00-m48,N60057,100,33,MRSOLUTIONS,15.07,HFD,11.66666667,,60
july2022scans,XI,7,In House,211001-7,HFD,210614_3,210614_3,APOE22HN,female,210614,6/14/21,11,6/28/20,33.9,9/30/17,15.07,15,1.26,FALSE,211001-7:1,N60058_m00-m48,N60059,97,31,MRSOLUTIONS,15.07,HFD,11.66666667,,60
july2022scans,XI,8,In House,211001-8,HFD,210614_4,210614_4,APOE22HN,female,210614,6/14/21,11,6/28/20,27.3,9/30/17,15.07,15,1.26,FALSE,211001-8:1,N60060_m00-m48,N60061,99,30,MRSOLUTIONS,15.07,HFD,11.66666667,,60
july2022scans,XI,9,In House,211001-9,HFD,210614_5,210614_5,APOE22HN,female,210614,6/14/21,11,6/28/20,28.2,9/30/17,15.07,15,1.26,FALSE,211001-9:1,N60062_m00-m48,N60063,85,31,MRSOLUTIONS,15.07,HFD,11.66666667,,60
july2022scans,XI,10,In House,210730-2,HFD,210614_1,210614_1,APOE22HN,female,210614,6/14/21,11,6/28/20,36.6,9/30/17,15.07,15,1.26,FALSE,210730-2:1,N60068_m00-m48,N60069,87,30,MRSOLUTIONS,15.07,HFD,11.66666667,,60
,XI,11,In House,211001-10,HFD,210614_8,210614_8,APOE33HN,male,210614,6/14/21,11,6/19/20,52.1,10/5/17,15.77,16,1.333333333,,211001-10:1,N59136_m00-m48,N59137,108,27,,15.77,HFD,11.96666667,,60
,XI,12,In House,211001-11,HFD,210614_9,210614_9,APOE33HN,male,210614,6/14/21,11,6/19/20,47.3,10/5/17,15.77,16,1.333333333,,211001-11:1,N59140_m00-m48,N59139,106,26,,15.77,HFD,11.96666667,,60
,XI,13,In House,211001-12,HFD,210614_10,210614_10,APOE33HN,male,210614,6/14/21,11,6/19/20,46.4,10/5/17,15.77,16,1.333333333,,211001-12:1,,,,,,15.77,HFD,11.96666667,,60
,XI,14,In House,211001-13,HFD,210614_11,210614_11,APOE33HN,male,210614,6/14/21,11,6/19/20,45.2,10/5/17,15.77,16,1.333333333,,211001-13:1,,,,,,15.77,HFD,11.96666667,,60
,XI,15,In House,211001-14,HFD,210614_12,210614_12,APOE33HN,male,210614,6/14/21,11,6/19/20,47.1,10/5/17,15.77,16,1.333333333,,211001-14:1,,,,,,15.77,HFD,11.96666667,,60
,XI,16,In House,211001-15,Control,210614_22,210614_22,APOE33HN,male,210614,6/14/21,11,6/19/20,34.6,10/5/17,15.77,16,1.333333333,,211001-15:1,,,,,,15.77,Control,11.96666667,,60
,XI,17,In House,211001-16,Control,210614_23,210614_23,APOE33HN,male,210614,6/14/21,11,6/19/20,33,10/5/17,15.77,16,1.333333333,,211001-16:1,,,,,,15.77,Control,11.96666667,,60
,XI,18,In House,211001-17,Control,210614_24,210614_24,APOE33HN,male,210614,6/14/21,11,6/19/20,35,10/5/17,15.77,16,1.333333333,,211001-17:1,,,,,,15.77,Control,11.96666667,,60
,XI,19,In House,211001-18,Control,210614_25,210614_25,APOE33HN,male,210614,6/14/21,11,6/19/20,32.8,10/5/17,15.77,16,1.333333333,,211001-18:1,,,,,,15.77,Control,11.96666667,,60
,XI,20,In House,211001-19,Control,210614_26,210614_26,APOE33HN,male,210614,6/14/21,11,6/19/20,36.8,10/5/17,15.77,16,1.333333333,,211001-19:1,,,,,,15.77,Control,11.96666667,,60
,XI,21,In House,211001-20,HFD,210614_13,210614_13,APOE33HN,female,210614,6/14/21,11,6/19/20,44.8,10/7/17,15.83,16,1.333333333,,211001-20:1,N59141_m00-m48,N59142,111,26,,15.83,HFD,11.96666667,,60
,XI,22,In House,211001-21,HFD,210614_14,210614_14,APOE33HN,female,210614,6/14/21,11,6/19/20,53.8,10/7/17,15.83,16,1.333333333,,211001-21:1,,,,,,15.83,HFD,11.96666667,,60
,XI,23,In House,211001-22,HFD,210614_15,210614_15,APOE33HN,female,210614,6/14/21,11,6/19/20,46,10/7/17,15.83,16,1.333333333,,211001-22:1,,,,,,15.83,HFD,11.96666667,,60
,XI,24,In House,211001-23,HFD,210614_16,210614_16,APOE33HN,female,210614,6/14/21,11,6/19/20,47.1,10/7/17,15.83,16,1.333333333,,211001-23:1,,,,,,15.83,HFD,11.96666667,,60
,XI,25,In House,211001-24,HFD,210614_31,210614_31,APOE33HN,female,210614,6/14/21,11,6/19/20,52,10/7/17,15.83,16,1.333333333,,211001-24:1,,,,,,15.83,HFD,11.96666667,,60
august2022scans,XI,26,In House,210730-1,HFD,210614_6,210614_6,APOE22HN,male,210614,6/14/21,11,6/28/20,38.1,10/4/17,15.43,15,1.25,,210730-1:1,N60095_m00-m48,N60096,97,31,,15.43,HFD,11.66666667,,60
,XI,27,In House,211001-25,HFD,210614_7,210614_7,APOE22HN,male,210614,6/14/21,11,6/28/20,31.2,10/4/17,15.43,15,1.25,,211001-25:1,,,,,,15.43,HFD,11.66666667,,60
Sep2022scans,XI,28,In House,211001-26,Control,210614_17,210614_17,APOE33HN,female,210614,6/14/21,11,6/15/20,26.7,10/4/17,15.87,16,1.333333333,,211001-26:1,N60133_m00-m48,N60134,96,31,,15.87,Control,12.1,,60
Sep2022scans,XI,29,In House,211001-27,Control,210614_18,210614_18,APOE33HN,female,210614,6/14/21,11,6/15/20,26.8,10/4/17,15.87,16,1.333333333,,211001-27:1,N60137_m00-m48,N60138,93,32,,15.87,Control,12.1,,60
,XI,30,In House,211001-28,Control,210614_19,210614_19,APOE33HN,female,210614,6/14/21,11,6/15/20,28.7,10/4/17,15.87,16,1.333333333,,211001-28:1,,,,,,15.87,Control,12.1,,60
,XI,31,In House,211001-29,Control,210614_20,210614_20,APOE33HN,female,210614,6/14/21,11,6/15/20,30,10/4/17,15.87,16,1.333333333,,211001-29:1,,,,,,15.87,Control,12.1,,60
November2022scans,XI,32,In House,211001-30,Control,210614_21,210614_21,APOE33HN,female,210614,6/14/21,11,6/15/20,34.3,10/4/17,15.87,16,1.333333333,,211001-30:1,N60198_m00-m48,N60199,90,30,,15.87,Control,12.1,,60
,XI,33,In House,211001-31,Control,210614_27,210614_27,APOE33HN,male,210614,6/14/21,11,6/27/20,31.8,10/4/17,15.47,15,1.25,,211001-31:1,,,,,,15.47,Control,11.7,,60
,XI,34,In House,211001-32,Control,210614_28,210614_28,APOE33HN,male,210614,6/14/21,11,6/27/20,33.3,10/4/17,15.47,15,1.25,,211001-32:1,,,,,,15.47,Control,11.7,,60
,XI,35,In House,211001-33,Control,210614_29,210614_29,APOE33HN,male,210614,6/14/21,11,6/27/20,32,10/4/17,15.47,15,1.25,,211001-33:1,,,,,,15.47,Control,11.7,,60
,XI,36,In House,211001-34,Control,210614_30,210614_30,APOE33HN,male,210614,6/14/21,11,6/27/20,29.5,10/4/17,15.47,15,1.25,,211001-34:1,,,,,,15.47,Control,11.7,,60
,XI,37,Colton lab,211001-35,,211001_35,Cage1414913_1,CVN,male,211001,10/1/21,12,9/6/20,28.6,10/6/17,,,,,211001-35:1,,,,,,,,,,61
,XI,38,Colton lab,211001-36,,211001_36,Cage1248386_1,CVN,male,211001,10/1/21,12,9/12/20,29.1,10/6/17,,,,,211001-36:1,,,,,,,,,,61
,XI,39,Colton lab,211001-37,,211001_37,Cage1248386_2,CVN,male,211001,10/1/21,12,9/12/20,28.5,10/6/17,,,,,211001-37:1,,,,,,,,,,61
,XI,40,Colton lab,211001-38,,211001_38,Cage1248386_3,CVN,male,211001,10/1/21,12,9/12/20,29.6,10/6/17,,,,,211001-38:1,,,,,,,,,,61
,XI,41,Colton lab,211001-39,,211001_39,Cage1248386_4,CVN,male,211001,10/1/21,12,9/12/20,26.1,10/6/17,,,,,211001-39:1,,,,,,,,,,61
,XI,42,Colton lab,211001-40,,211001_40,Cage1170422_1,CVN,male,211001,10/1/21,12,9/27/20,31.9,10/6/17,,,,,211001-40:1,,,,,,,,,,61
,XI,43,Colton lab,211001-41,,211001_41,Cage1170422_2,CVN,male,211001,10/1/21,12,9/27/20,32.4,10/6/17,,,,,211001-41:1,,,,,,,,,,61
,XI,44,Colton lab,211001-42,,211001_42,Cage1170422_3,CVN,male,211001,10/1/21,12,9/27/20,30.6,10/6/17,,,,,211001-42:1,,,,,,,,,,61
,XI,45,Colton lab,211001-43,,211001_43,Cage1170422_4,CVN,male,211001,10/1/21,12,9/27/20,29.3,10/6/17,,,,,211001-43:1,,,,,,,,,,61
,XI,46,Colton lab,211001-44,,211001_44,Cage1170422_5,CVN,male,211001,10/1/21,12,9/27/20,32.4,10/6/17,,,,,211001-44:1,,,,,,,,,,61
,XII,1,In House,210809-1,Control,210809_2,210809_2,APOE33HN,female,210809,8/9/21,11,8/23/20,22.3,11/9/17,14.77,15,1.25,,210809-1:1,,,,,,14.77,Control,11.66666667,,60
,XII,2,In House,210809-2,Control,210809_3,210809_3,APOE33HN,female,210809,8/9/21,11,8/23/20,24.4,11/9/17,14.77,15,1.25,,210809-2:1,,,,,,14.77,Control,11.66666667,,60
,XII,3,In House,210809-3,Control,210809_4,210809_4,APOE33HN,female,210809,8/9/21,11,9/2/20,30.1,11/9/17,14.43,15,1.25,,210809-3:1,,,,,,14.43,Control,11.33333333,,59
august2022scans,XII,4,In House,210809-4,HFD,210809_5,210809_5,APOE22HN,male,210809,8/9/21,11,8/15/20,34.7,11/9/17,15.03,15,1.25,,210809-4:1,N60103_m00-m48,N60104,96,30,,15.03,HFD,11.93333333,,60
august2022scans,XII,5,In House,210809-5,HFD,210809_6,210809_6,APOE22HN,male,210809,8/9/21,11,8/15/20,42,11/9/17,15.03,15,1.25,,210809-5:1,N60097_m00-m48,N60098,96,30,,15.03,HFD,11.93333333,,60
,XII,6,In House,210809-6,HFD,210809_7,210809_7,APOE22HN,male,210809,8/9/21,11,8/15/20,30.9,11/9/17,15.03,15,1.25,,210809-6:1,,,,,,15.03,HFD,11.93333333,,60
,XII,7,In House,210809-7,HFD,210809_8,210809_8,APOE22HN,male,210809,8/9/21,11,8/15/20,44.9,11/9/17,15.03,15,1.25,,210809-7:1,,,,,,15.03,HFD,11.93333333,,60
October2022scan,XII,8,In House,210906-1,Control,210906_1,210906_1,APOE22HN,female,210906,9/6/21,12,9/6/20,23.5,11/10/17,14.33,14,1.166666667,,210906-1:1,N60163_m00-m48,N60164,81,28,,14.33,Control,12.13333333,,60
October2022scan,XII,9,In House,210906-2,Control,210906_2,210906_2,APOE22HN,female,210906,9/6/21,12,9/6/20,22,11/10/17,14.33,14,1.166666667,,210906-2:1,N60169_m00-m48,N60170,84,31,,14.33,Control,12.13333333,,60
November2022scans,XII,10,In House,210906-3,Control,210906_3,210906_3,APOE22HN,female,210906,9/6/21,12,9/6/20,27,11/10/17,14.33,14,1.166666667,,210906-3:1,N60190_m00-m48,N60191,82,28,,14.33,Control,12.13333333,,60
November2022scans,XII,11,In House,210906-4,Control,210906_4,210906_4,APOE22HN,female,210906,9/6/21,12,9/6/20,26.1,11/9/17,14.3,14,1.166666667,,210906-4:1,N60188_m00-m48,N60189,88,29,,14.3,Control,12.13333333,,60
November2022scans,XII,12,In House,210906-5,Control,210906_5,210906_5,APOE22HN,female,210906,9/6/21,12,9/6/20,26.1,11/10/17,14.33,14,1.166666667,,210906-5:1,N60200_m00-m48,N60201,81,29,,14.33,Control,12.13333333,,60
November2022scans,XII,13,In House,210906-6,Control,210906_6,210906_6,APOE22HN,male,210906,9/6/21,11,9/27/20,34.5,11/10/17,13.63,14,1.166666667,,210906-6:1,N60192_m00-m48,N60193,88,29,,13.63,Control,11.43333333,,60
,XII,14,In House,210906-7,Control,210906_7,210906_7,APOE22HN,female,210906,9/6/21,11,9/20/20,25.7,11/9/17,13.83,14,1.166666667,,210906-7:1,,,,,,13.83,Control,11.66666667,,60
,XII,15,In House,210906-8,Control,210906_8,210906_8,APOE22HN,female,210906,9/6/21,11,9/20/20,27.8,11/9/17,13.83,14,1.166666667,,210906-8:1,,,,,,13.83,Control,11.66666667,,60
,XII,16,In House,210906-9,HFD,210906_9,210906_9,APOE44,female,210906,9/6/21,11,9/7/20,37.3,11/16/17,14.5,15,1.25,,210906-9:1,,,,,,14.5,HFD,12.1,,60
,XII,17,In House,210906-10,HFD,210906_10,210906_10,APOE44,female,210906,9/6/21,11,9/7/20,42.7,11/16/17,14.5,15,1.25,,210906-10:1,,,,,,14.5,HFD,12.1,,60
,XII,18,In House,210906-11,HFD,210906_11,210906_11,APOE44,female,210906,9/6/21,11,9/7/20,29.4,11/16/17,14.5,15,1.25,,210906-11:1,,,,,,14.5,HFD,12.1,,60
,XII,19,In House,210906-12,HFD,210906_12,210906_12,APOE44,female,210906,9/6/21,11,9/7/20,36.3,11/16/17,14.5,15,1.25,,210906-12:1,,,,,,14.5,HFD,12.1,,60
,XII,20,In House,210906-13,HFD,210906_13,210906_13,APOE44,female,210906,9/6/21,11,9/7/20,33,11/16/17,14.5,15,1.25,,210906-13:1,,,,,,14.5,HFD,12.1,,60
,XII,21,In House,210906-14,HFD,210906_14,210906_14,APOE44,female,210906,9/6/21,11,10/2/20,28.2,11/16/17,13.67,14,1.166666667,,210906-14:1,,,,,,13.67,HFD,11.26666667,,59
,XII,22,In House,210906-15,HFD,210906_15,210906_15,APOE44,female,210906,9/6/21,11,10/2/20,35.2,11/17/17,13.7,14,1.166666667,,210906-15:1,,,,,,13.7,HFD,11.26666667,,59
,XII,23,In House,210906-16,HFD,210906_16,210906_16,APOE44,female,210906,9/6/21,11,10/2/20,33.5,11/17/17,13.7,14,1.166666667,,210906-16:1,,,,,,13.7,HFD,11.26666667,,59
,XII,24,In House,210906-17,HFD,210906_17,210906_17,APOE44,female,210906,9/6/21,11,10/2/20,25.7,11/17/17,13.7,14,1.166666667,,210906-17:1,,,,,,13.7,HFD,11.26666667,,59
,XII,25,In House,210906-18,HFD,210906_18,210906_18,APOE44,female,210906,9/6/21,11,10/2/20,34.5,11/17/17,13.7,14,1.166666667,,210906-18:1,,,,,,13.7,HFD,11.26666667,,59
,XII,26,In House,211004-1,Control,211004_1,211004_1,APOE33,male,211004,10/4/21,11,10/14/20,37.1,11/1/17,13.17,13,1.083333333, ,211004-1:1,N58997-m00-m48,N58998,103,26, ,13.17,Control,12.2,,60
,XII,27,In House,211004-2,Control,211004_2,211004_2,APOE33,male,211004,10/4/21,11,10/14/20,36.3,11/1/17,13.17,13,1.083333333, ,211004-2:1,N58999-m00-m48,N59000,97,23, ,13.17,Control,12.2,,60
,XII,28,In House,211004-3,Control,211004_3,211004_3,APOE33,male,211004,10/4/21,12,10/2/20,37.2,11/1/17,12.77,13,1.083333333, ,211004-3:1,N59010-m00-m48,N59011,83,21, ,12.77,Control,11.8,,60
,XII,29,In House,211004-4,Control,211004_19,211004_19,APOE44,male,211004,10/4/21,17,4/5/20,31,11/16/17,19.67,20,1.666666667,,211004-4:1,,,,,,19.67,Control,18.2,,66
