PumpGroup,NameGroup,Source,CIVM,Treatment,Animal_ID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet
X,10,In House,210817_8,Control,210112_16,APOE44HN,female,4/20/16,25.5,8/16/17,15.87,16,1.32,FALSE,210817-8:1,N59035_m00-m48,N59036,107,27,,15.87,Control
X,11,In House,210817_9,Control,210112_17,APOE44HN,female,4/28/16,25.5,8/16/17,15.6,16,1.3,FALSE,210817-9:1,N59026_m00-m48,N59027,103,26,,15.6,Control
X,12,In House,210730_5,HFD,210112_18,APOE33HN,male,4/27/16,51.8,8/17/17,15.67,16,1.31,FALSE,210730-5:1,,,,,,15.67,HFD
X,13,In House,210817_10,HFD,210112_19,APOE33HN,male,4/27/16,53.6,8/18/17,15.7,16,1.31,FALSE,210817-10:1,,,,,,15.7,HFD
X,14,In House,210817_11,HFD,210112_20,APOE33HN,male,4/27/16,66.2,8/17/17,15.67,16,1.31,FALSE,210817-11:1,,,,,,15.67,HFD
X,15,In House,210730_6,HFD,210112_21,APOE33HN,female,4/27/16,57.7,8/17/17,15.67,16,1.31,FALSE,210730-6:1,,,,,,15.67,HFD
X,16,In House,210817_12,HFD,210112_23,APOE33HN,female,3/9/16,54.3,8/17/17,17.27,17,1.44,TRUE,210817-12:1,,,,,,17.27,HFD
X,17,In House,210817_13,HFD,210112_24,APOE33HN,female,4/28/16,52.2,8/17/17,15.63,16,1.3,FALSE,210817-13:1,N58919_m00-m48,N58920,105,26,,15.63,HFD
X,18,In House,210817_14,HFD,210112_25,APOE44,male,4/5/16,51.2,8/17/17,16.4,16,1.37,TRUE,210817-14:1,,,,,,16.4,HFD
X,19,In House,210730_7,HFD,210112_26,APOE44,male,4/5/16,50.3,8/18/17,16.43,16,1.37,TRUE,210730-7:1,,,,,,16.43,HFD
X,20,In House,210730_8,HFD,210112_27,APOE44,female,4/5/16,50.7,8/17/17,16.4,16,1.37,TRUE,210730-8:1,,,,,,16.4,HFD
X,21,In House,210817_15,HFD,210112_28,APOE44,female,4/5/16,45.1,8/17/17,16.4,16,1.37,TRUE,210817-15:1,,,,,,16.4,HFD
X,22,In House,210817_16,HFD,210112_29,APOE44,female,4/15/16,34.6,8/17/17,16.07,16,1.34,TRUE,210817-16:1,,,,,,16.07,HFD
X,23,In House,210817_17,HFD,210112_1,APOE44HN,female,4/5/16,49.3,8/18/17,16.43,16,1.37,TRUE,210817-17:1,,,,,,16.43,HFD
X,24,In House,210817_18,Control,210112_8,APOE44HN,male,4/14/16,26.6,8/17/17,16.1,16,1.34,TRUE,210817-18:1,N59041_m00-m48,N59042,105,26,,16.1,Control
X,25,In House,210817_19,HFD,210112_12,APOE44HN,male,4/20/16,49.9,8/18/17,15.93,16,1.33,FALSE,210817-19:1,N58941_m00-m48,N58942,109,26,,15.93,HFD
XI,1,In House,211001_1,Control,210503_18,APOE22,male,5/11/16,38.6,9/30/17,16.63,17,1.39,TRUE,211001-1:1,,,,,,16.63,Control
XI,2,In House,211001_2,Control,210503_19,APOE22,male,5/11/16,33.1,9/30/17,16.63,17,1.39,TRUE,211001-2:1,,,,,,16.63,Control
XI,3,In House,211001_3,Control,210503_20,APOE22,male,5/11/16,36.2,9/30/17,16.63,17,1.39,TRUE,211001-3:1,,,,,,16.63,Control
XI,4,In House,211001_4,Control,210503_21,APOE22,female,5/11/16,28.8,9/30/17,16.63,17,1.39,TRUE,211001-4:1, ,,,,,16.63,Control
XI,5,In House,211001_5,Control,210503_22,APOE22,female,5/11/16,25.8,9/30/17,16.63,17,1.39,TRUE,211001-5:1,,,,,,16.63,Control
XI,6,In House,211001_6,HFD,210614_2,APOE22HN,female,6/28/16,40.9,9/30/17,15.07,15,1.26,FALSE,211001-6:1,,,,,,15.07,HFD
XI,7,In House,211001_7,HFD,210614_3,APOE22HN,female,6/28/16,33.9,9/30/17,15.07,15,1.26,FALSE,211001-7:1,,,,,,15.07,HFD
XI,8,In House,211001_8,HFD,210614_4,APOE22HN,female,6/28/16,27.3,9/30/17,15.07,15,1.26,FALSE,211001-8:1,,,,,,15.07,HFD
XI,9,In House,211001_9,HFD,210614_5,APOE22HN,female,6/28/16,28.2,9/30/17,15.07,15,1.26,FALSE,211001-9:1,,,,,,15.07,HFD
XI,10,In House,210730_2,HFD,210614_1,APOE22HN,female,6/28/16,36.6,9/30/17,15.07,15,1.26,FALSE,210730-2:1,,,,,,15.07,HFD
XI,11,In House,211001_10,HFD,210614_8,APOE33HN,Male ,6/19/16,52.1,10/5/17,15.77,16,1.333333333,,211001-10:1,,,,,,15.77,HFD
XI,12,In House,211001_11,HFD,210614_9 ,APOE33HN,Male ,6/19/16,47.3,10/5/17,15.77,16,1.333333333,,211001-11:1,,,,,,15.77,HFD
XI,13,In House,211001_12,HFD,210614_10 ,APOE33HN,Male ,6/19/16,46.4,10/5/17,15.77,16,1.333333333,,211001-12:1,,,,,,15.77,HFD
XI,14,In House,211001_13,HFD,210614_11 ,APOE33HN,Male ,6/19/16,45.2,10/5/17,15.77,16,1.333333333,,211001-13:1,,,,,,15.77,HFD
XI,15,In House,211001_14,HFD,210614_12 ,APOE33HN,Male,6/19/16,47.1,10/5/17,15.77,16,1.333333333,,211001-14:1,,,,,,15.77,HFD
XI,16,In House,211001_15,Control,210614_22 ,APOE33HN,male,6/19/16,34.6,10/5/17,15.77,16,1.333333333,,211001-15:1,,,,,,15.77,Control
XI,17,In House,211001_16,Control,210614_23 ,APOE33HN,male,6/19/16,33,10/5/17,15.77,16,1.333333333,,211001-16:1,,,,,,15.77,Control
XI,18,In House,211001_17,Control,210614_24 ,APOE33HN,male,6/19/16,35,10/5/17,15.77,16,1.333333333,,211001-17:1,,,,,,15.77,Control
XI,19,In House,211001_18,Control,210614_25 ,APOE33HN,male,6/19/16,32.8,10/5/17,15.77,16,1.333333333,,211001-18:1,,,,,,15.77,Control
XI,20,In House,211001_19,Control,210614_26 ,APOE33HN,male,6/19/16,36.8,10/5/17,15.77,16,1.333333333,,211001-19:1,,,,,,15.77,Control
XI,21,In House,211001_20,HFD,210614_13 ,APOE33HN,Female ,6/19/16,44.8,10/7/17,15.83,16,1.333333333,,211001-20:1,,,,,,15.83,HFD
XI,22,In House,211001_21,HFD,210614_14 ,APOE33HN,Female ,6/19/16,53.8,10/7/17,15.83,16,1.333333333,,211001-21:1,,,,,,15.83,HFD
XI,23,In House,211001_22,HFD,210614_15 ,APOE33HN,Female ,6/19/16,46,10/7/17,15.83,16,1.333333333,,211001-22:1,,,,,,15.83,HFD
XI,24,In House,211001_23,HFD,210614_16 ,APOE33HN,Female ,6/19/16,47.1,10/7/17,15.83,16,1.333333333,,211001-23:1,,,,,,15.83,HFD
XI,25,In House,211001_24,HFD,210614_31 ,APOE33HN,Female ,6/19/16,52,10/7/17,15.83,16,1.333333333,,211001-24:1,,,,,,15.83,HFD
XI,26,In House,210730_1,HFD,210614_6 ,APOE22HN,male,6/28/16,38.1,10/4/17,15.43,15,1.25,,210730-1:1,,,,,,15.43,HFD
XI,27,In House,211001_25,HFD,210614_7 ,APOE22HN,male,6/28/16,31.2,10/4/17,15.43,15,1.25,,211001-25:1,,,,,,15.43,HFD
XI,28,In House,211001_26,Control,210614_17 ,APOE33HN,female,6/15/16,26.7,10/4/17,15.87,16,1.333333333,,211001-26:1,,,,,,15.87,Control
XI,29,In House,211001_27,Control,210614_18 ,APOE33HN,female,6/15/16,26.8,10/4/17,15.87,16,1.333333333,,211001-27:1,,,,,,15.87,Control
XI,30,In House,211001_28,Control,210614_19 ,APOE33HN,female,6/15/16,28.7,10/4/17,15.87,16,1.333333333,,211001-28:1,,,,,,15.87,Control
XI,31,In House,211001_29,Control,210614_20 ,APOE33HN,female,6/15/16,30,10/4/17,15.87,16,1.333333333,,211001-29:1,,,,,,15.87,Control
XI,32,In House,211001_30,Control,210614_21,APOE33HN,female,6/15/16,34.3,10/4/17,15.87,16,1.333333333,,211001-30:1,,,,,,15.87,Control
XI,33,In House,211001_31,Control,210614_27 ,APOE33HN,male,6/27/16,31.8,10/4/17,15.47,15,1.25,,211001-31:1,,,,,,15.47,Control
XI,34,In House,211001_32,Control,210614_28 ,APOE33HN,male,6/27/16,33.3,10/4/17,15.47,15,1.25,,211001-32:1,,,,,,15.47,Control
XI,35,In House,211001_33,Control,210614_29 ,APOE33HN,male,6/27/16,32,10/4/17,15.47,15,1.25,,211001-33:1,,,,,,15.47,Control
XI,36,In House,211001_34,Control,210614_30 ,APOE33HN,male,6/27/16,29.5,10/4/17,15.47,15,1.25,,211001-34:1,,,,,,15.47,Control
XI,37,Colton lab,211001_35,,Cage 1414913_1,CVN,Male ,9/6/16,28.6,10/6/17,,,,,211001-35:1,,,,,,,
XI,38,Colton lab,211001_36,,Cage 1248386_1,CVN,Male ,9/12/16,29.1,10/6/17,,,,,211001-36:1,,,,,,,
XI,39,Colton lab,211001_37,,Cage 1248386_2,CVN,Male,9/12/16,28.5,10/6/17,,,,,211001-37:1,,,,,,,
XI,40,Colton lab,211001_38,,Cage 1248386_3,CVN,Male ,9/12/16,29.6,10/6/17,,,,,211001-38:1,,,,,,,
XI,41,Colton lab,211001_39,,Cage 1248386_4,CVN,Male ,9/12/16,26.1,10/6/17,,,,,211001-39:1,,,,,,,
XI,42,Colton lab,211001_40,,Cage 1170422_1,CVN,Male ,9/27/16,31.9,10/6/17,,,,,211001-40:1,,,,,,,
XI,43,Colton lab,211001_41,,Cage 1170422_2,CVN,Male ,9/27/16,32.4,10/6/17,,,,,211001-41:1,,,,,,,
XI,44,Colton lab,211001_42,,Cage 1170422_3,CVN,Male ,9/27/16,30.6,10/6/17,,,,,211001-42:1,,,,,,,
XI,45,Colton lab,211001_43,,Cage 1170422_4,CVN,Male ,9/27/16,29.3,10/6/17,,,,,211001-43:1,,,,,,,
XI,46,Colton lab,211001_44,,Cage 1170422_5,CVN,Male ,9/27/16,32.4,10/6/17,,,,,211001-44:1,,,,,,,
XII,1,In House,210809_1,Control,210809_2,APOE33HN,female,8/23/16,22.3,11/9/17,14.77,15,1.25,,210809-1:1,,,,,,14.77,Control
XII,2,In House,210809_2,Control,210809_3,APOE33HN,female,8/23/16,24.4,11/9/17,14.77,15,1.25,,210809-2:1,,,,,,14.77,Control
XII,3,In House,210809_3,Control,210809_4,APOE33HN,female,9/2/16,30.1,11/9/17,14.43,15,1.25,,210809-3:1,,,,,,14.43,Control
XII,4,In House,210809_4,HFD,210809_5,APOE22HN,male,8/15/16,34.7,11/9/17,15.03,15,1.25,,210809-4:1,,,,,,15.03,HFD
XII,5,In House,210809_5,HFD,210809_6,APOE22HN,male,8/15/16,42,11/9/17,15.03,15,1.25,,210809-5:1,,,,,,15.03,HFD
XII,6,In House,210809_6,HFD,210809_7,APOE22HN,male,8/15/16,30.9,11/9/17,15.03,15,1.25,,210809-6:1,,,,,,15.03,HFD
XII,7,In House,210809_7,HFD,210809_8,APOE22HN,male,8/15/16,44.9,11/9/17,15.03,15,1.25,,210809-7:1,,,,,,15.03,HFD
XII,8,In House,210906_1,Control,210906_1,APOE22HN,female,9/6/16,23.5,11/10/17,14.33,14,1.166666667,,210906-1:1,,,,,,14.33,Control
XII,9,In House,210906_2,Control,210906_2,APOE22HN,female,9/6/16,22,11/10/17,14.33,14,1.166666667,,210906-2:1,,,,,,14.33,Control
XII,10,In House,210906_3,Control,210906_3,APOE22HN,female,9/6/16,27,11/10/17,14.33,14,1.166666667,,210906-3:1,,,,,,14.33,Control
XII,11,In House,210906_4,Control,210906_4,APOE22HN,female,9/6/16,26.1,11/9/17,14.3,14,1.166666667,,210906-4:1,,,,,,14.3,Control
XII,12,In House,210906_5,Control,210906_5,APOE22HN,female,9/6/16,26.1,11/10/17,14.33,14,1.166666667,,210906-5:1,,,,,,14.33,Control
XII,13,In House,210906_6,Control,210906_6,APOE22HN,male,9/27/16,34.5,11/10/17,13.63,14,1.166666667,,210906-6:1,,,,,,13.63,Control
XII,14,In House,210906_7,Control,210906_7,APOE22HN,female,9/20/16,25.7,11/9/17,13.83,14,1.166666667,,210906-7:1,,,,,,13.83,Control
XII,15,In House,210906_8,Control,210906_8,APOE22HN,female,9/20/16,27.8,11/9/17,13.83,14,1.166666667,,210906-8:1,,,,,,13.83,Control
XII,16,In House,210906_9,HFD,210906_9,APOE44,Female ,9/7/16,37.3,11/16/17,14.5,15,1.25,,210906-9:1,,,,,,14.5,HFD
XII,17,In House,210906_10,HFD,210906_10,APOE44,Female ,9/7/16,42.7,11/16/17,14.5,15,1.25,,210906-10:1,,,,,,14.5,HFD
XII,18,In House,210906_11,HFD,210906_11,APOE44,Female ,9/7/16,29.4,11/16/17,14.5,15,1.25,,210906-11:1,,,,,,14.5,HFD
XII,19,In House,210906_12,HFD,210906_12,APOE44,Female,9/7/16,36.3,11/16/17,14.5,15,,,210906-12:1,,,,,,14.5,HFD
XII,20,In House,210906_13,HFD,210906_13,APOE44,Female,9/7/16,33,11/16/17,14.5,15,,,210906-13:1,,,,,,14.5,HFD
XII,21,In House,210906_14,HFD,210906_14,APOE44,Female,10/2/16,28.2,11/16/17,13.67,14,1.166666667,,210906-14:1,,,,,,13.67,HFD
XII,22,In House,210906_15,HFD,210906_15,APOE44,Female,10/2/16,35.2,11/17/17,13.7,14,1.166666667,,210906-15:1,,,,,,13.7,HFD
XII,23,In House,210906_16,HFD,210906_16,APOE44,Female ,10/2/16,33.5,11/17/17,13.7,14,1.166666667,,210906-16:1,,,,,,13.7,HFD
XII,24,In House,210906_17,HFD,210906_17,APOE44,Female,10/2/16,25.7,11/17/17,13.7,14,1.166666667,,210906-17:1,,,,,,13.7,HFD
XII,25,In House,210906_18,HFD,210906_18,APOE44,Female ,10/2/16,34.5,11/17/17,13.7,14,1.166666667,,210906-18:1,,,,,,13.7,HFD
XII,26,In House,211004_1,Control,211004_1,APOE33,Male ,10/14/16,37.1,11/1/17,13.17,13,1.083333333,,211004-1:1,N58997-m00-m48,N58998,103,26,,13.17,Control
XII,27,In House,211004_2,Control,211004_2,APOE33,Male ,10/14/16,36.3,11/1/17,13.17,13,1.083333333,,211004-2:1,N58999-m00-m48,N59000,97,23,,13.17,Control
XII,28,In House,211004_3,Control,211004_3,APOE33,Male ,10/2/16,37.2,11/1/17,12.77,13,1.083333333,,211004-3:1,N59001-m00-m48,N59002,83,21,,12.77,Control
XII,29,In House,211004_4,Control,211004_19,APOE44,Male ,4/5/16,31,11/16/17,19.67,20,1.666666667,,211004-4:1,,,,,,19.67,Control
XII,30,In House,211004_5,Control,211004_20,APOE44,Female ,4/5/16,29.3,11/16/17,19.67,20,1.666666667,,211004-5:1,,,,,,19.67,Control
XII,31,In House,211004_6,Control,211004_21,APOE44HN,Male ,4/20/16,29.2,11/16/17,19.17,19,1.583333333,,211004-6:1,,,,,,19.17,Control
XII,32,In House,211004_7,HFD,211004_5,APOE33,female,10/2/16,46.6,11/30/17,14.13,14,1.166666667,,211004-7:1,,,,,,14.13,HFD
XII,33,In House,211004_8,HFD,211004_9,APOE33,female,10/14/16,42.6,11/30/17,13.73,14,1.166666667,,211004-8:1,,,,,,13.73,HFD
XII,34,In House,211004_9,HFD,211004_14,APOE44HN,Male ,10/4/16,43.1,11/30/17,14.07,14,1.166666667,,211004-9:1,,,,,,14.07,HFD
XII,35,In House,211004_10,HFD,211004_15,APOE44HN,Male,10/4/16,40.7,11/30/17,14.07,14,1.166666667,,211004-10:1,,,,,,14.07,HFD
XII,36,In House,211004_11,HFD,211004_16,APOE44HN,Male ,10/4/16,43.5,11/30/17,14.07,14,1.166666667,,211004-11:1,,,,,,14.07,HFD
XII,37,In House,211004_12,HFD,211004_17,APOE44HN,Male ,10/4/16,45.3,11/30/17,14.07,14,1.166666667,,211004-12:1,,,,,,14.07,HFD
XII,38,In House,211004_13,Control,211004_10,APOE44HN,Female ,10/4/16,25.6,11/30/17,14.07,14,1.166666667,,211004-13:1,,,,,,14.07,Control
XII,39,In House,211004_14,Control,211004_11,APOE44HN,Female ,10/4/16,27.4,11/30/17,14.07,14,1.166666667,,211004-14:1,,,,,,14.07,Control
XII,40,In House,211004_15,Control,211004_12,APOE44HN,Female ,10/4/16,21.3,12/1/17,14.1,14,1.166666667,,211004-15:1,,,,,,14.1,Control
XII,41,In House,211004_16,Control,211004_13,APOE44HN,Female ,10/4/16,22.8,12/1/17,14.1,14,1.166666667,,211004-16:1,,,,,,14.1,Control
XIII,1,In House,211122_1,HFD,211122_1,APOE22HN,Female ,11/15/20,37,1/19/22,14.33,14,1.166666667,,,,,,,,14.33,HFD
XIII,2,In House,211122_2,HFD,211122_2,APOE22HN,Female ,11/15/20,38,1/19/22,14.33,14,1.166666667,,,,,,,,14.33,HFD
XIII,3,In House,211122_3,HFD,211122_3,APOE22HN,Female ,11/15/20,39,1/19/22,14.33,14,1.166666667,,,,,,,,14.33,HFD
XIII,4,In House,211122_4,HFD,211122_4,APOE22HN,Female ,11/19/20,34,1/19/22,14.2,14,1.166666667,,,,,,,,14.2,HFD
XIII,5,In House,211122_5,HFD,211122_5,APOE22HN,Female ,11/7/20,32,1/19/22,14.6,15,1.25,,,,,,,,14.6,HFD
XIII,6,In House,211122_6,HFD,211122_6,APOE22HN,Female ,11/7/20,38,1/19/22,14.6,15,1.25,,,,,,,,14.6,HFD
XIII,7,In House,211122_7,HFD,211122_7,APOE22HN,Female ,11/11/20,45,1/20/22,14.5,15,1.25,,,,,,,,14.5,HFD
XIII,8,In House,211122_8,HFD,211122_8,APOE22HN,Female ,11/11/20,33,1/20/22,14.5,15,1.25,,,,,,,,14.5,HFD
XIII,9,In House,211122_9,Control,211122_9,APOE22HN,Male,11/7/20,29,1/20/22,14.63,15,1.25,,,,,,,,14.63,Control
XIII,10,In House,211122_10,Control,211122_10,APOE22HN,Male,11/7/20,31,1/20/22,14.63,15,1.25,,,,,,,,14.63,Control
XIII,11,In House,211122_11,Control,211122_11,APOE22HN,Male,11/7/20,31,1/20/22,14.63,15,1.25,,,,,,,,14.63,Control
XIII,12,In House,211122_12,Control,211122_12,APOE22HN,Male,11/7/20,30,1/20/22,14.63,15,1.25,,,,,,,,14.63,Control
XIII,13,In House,211122_13,Control,211122_13,APOE22HN,Male,11/17/20,33,1/26/22,14.5,15,1.25,,,,,,,,14.5,Control
XIII,14,In House,211122_14,Control,211122_14,APOE22HN,Male,11/17/20,31,1/26/22,14.5,15,1.25,,,,,,,,14.5,Control
XIII,15,In House,211122_15,Control,211122_15,APOE22HN,Male,11/19/20,29,1/26/22,14.43,14,1.166666667,,,,,,,,14.43,Control
XIII,16,In House,211122_16,Control,211122_16,APOE22HN,Male,11/19/20,32,1/27/22,14.47,14,1.166666667,,,,,,,,14.47,Control
XIII,17,In House,211122_23,Control,211122_23,APOE22HN,Male,5/11/20,31,1/26/22,20.83,21,1.75,,,,,,,,20.83,Control
XIII,18,In House,211122_24,Control,211122_24,APOE22HN,Male,6/16/20,31,1/26/22,19.63,20,1.666666667,,,,,,,,19.63,Control
XIII,19,In House,211122_25,Control,211122_25,APOE22HN,Male,6/16/20,33,1/27/22,19.67,20,1.666666667,,,,,,,,19.67,Control
XIII,20,In House,211122_26,Control,211122_26,APOE22HN,Female ,6/16/20,32,1/27/22,19.67,20,1.666666667,,,,,,,,19.67,Control
XIII,21,In House,211122_27,Control,211122_27,APOE22HN,Female ,6/16/20,27,1/27/22,19.67,20,1.666666667,,,,,,,,19.67,Control
XIII,22,In House,211122_28,Control,211122_28,APOE22HN,Female ,3/10/20,26,1/27/22,22.93,23,1.916666667,,,,,,,,22.93,Control
XIV,1,In House,220110_1,HFD,220110_1,APOE22HN,Male,1/6/21,47,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
XIV,2,In House,220110_2,HFD,220110_2,APOE22HN,Male,1/6/21,39,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
XIV,3,In House,220110_3,HFD,220110_3,APOE22HN,Male,1/6/21,37,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
XIV,4,In House,220110_4,HFD,220110_4,APOE22HN,Male,1/6/21,48,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
XIV,5,In House,220110_5,Control,220110_5,APOE22HN,Male,1/6/21,29,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,Control
XIV,6,In House,220110_6,Control,220110_6,APOE22HN,Male,1/6/21,31,2/23/22,13.77,14,1.166666667,,,,,,,,13.77,Control
XIV,7,In House,220110_7,Control,220110_7,APOE22HN,Male,1/26/21,33,2/23/22,13.1,13,1.083333333,,,,,,,,13.1,Control
XIV,8,In House,220110_8,Control,220110_8,APOE22HN,Female ,1/4/21,27,2/24/22,13.87,14,1.166666667,,,,,,,,13.87,Control
XIV,9,In House,220110_9,Control,220110_9,APOE22HN,Female ,1/4/21,26,2/24/22,13.87,14,1.166666667,,,,,,,,13.87,Control
XIV,10,In House,220110_10,Control,220110_10,APOE22HN,Female ,1/4/21,27,2/24/22,13.87,14,1.166666667,,,,,,,,13.87,Control
XIV,11,In House,220110_11,HFD,220110_11,APOE44,Male,1/7/21,48,2/24/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
XIV,12,In House,220110_12,HFD,220110_12,APOE44,Male,1/7/21,49,2/24/22,13.77,14,1.166666667,,,,,,,,13.77,HFD
